Genotype	Replicate	Chamber	Honeydew.mass	Species	Aphid.start	Aphid.end	Exposure.time	Cumulative.aphids	day1	day2	day3	day4	day5
33	5	2	18.3774	A.ner	292	409	4	1460.5	321.25	350.5	379.75	409	NA
33	6	1	0.8842	M.per	160	173	4	672.5	163.25	166.5	169.75	173	NA
33	7	2	0.9403	M.per	168	269	4	924.5	193.25	218.5	243.75	269	NA
33	8	1	2.3309	A.asc	94	73	4	323.5	88.75	83.5	78.25	73	NA
33	10	2	NA	A.asc	7	4	4	20.5	6.25	5.5	4.75	4	NA
33	12	1	2.6298	M.asc	60	36	4	180	54	48	42	36	NA
33	13	1	3.6439	A.asc	73	115	4	397	83.5	94	104.5	115	NA
33	14	2	23.0926	A.ner	219	359	4	1226	254	289	324	359	NA
33	15	1	4.6731	M.per	189	203	4	791	192.5	196	199.5	203	NA
33	16	1	6.2237	A.ner	71	308	4	876.5	130.25	189.5	248.75	308	NA
33	17	2	3.5286	M.per	233	358	4	1244.5	264.25	295.5	326.75	358	NA
33	18	1	15.3918	A.ner	100	242	4	755	135.5	171	206.5	242	NA
35	1	1	43.8184	A.ner	210	324	4	1125	238.5	267	295.5	324	NA
35	2	1	7.5172	M.per	53	69	4	252	57	61	65	69	NA
35	3	1	16.9627	M.per	143	192	4	694.5	155.25	167.5	179.75	192	NA
35	4	2	0.1781	M.asc	18	45	5	171	23.4	28.8	34.2	39.6	45
35	5	2	3.857	M.per	268	526	4	1717	332.5	397	461.5	526	NA
35	6	1	16.697	A.ner	45	87	4	285	55.5	66	76.5	87	NA
35	7	1	6.5596	M.asc	45	61	4	220	49	53	57	61	NA
35	8	2	3.1117	A.asc	37	101	4	308	53	69	85	101	NA
35	9	2	45.4146	M.asc	113	227	4	737	141.5	170	198.5	227	NA
35	10	1	6.8961	A.asc	112	150	4	543	121.5	131	140.5	150	NA
35	11	2	29.9887	A.ner	121	476	4	1371.5	209.75	298.5	387.25	476	NA
35	12	2	10.1989	A.ner	293	789	4	2412	417	541	665	789	NA
35	13	1	0.1444	A.asc	4	6	4	21	4.5	5	5.5	6	NA
37	1	2	2.8234	A.asc	48	169	4	494.5	78.25	108.5	138.75	169	NA
