no,block,origin,pop,inoc,G.height1,G.height2,G.height3,G.leaves3,BA.snailsize,BA.none,BA.LA_before,BA.LA,LMA.leaflet_g,LMA.leaflet_cm2,H.n_nodules,H.nR,H.nW,H.above_g,H.roots_g,H.nodules_g
138,7,US,5,int,5,8,14,7,1.8,,4.264,4.264,0.0074,4.111,3,3,0,0.3109,0.2528,0.0543
139,7,US,4,auto,6.5,8,10,5,1.8,,2.95,2.95,0.005,3.06,3,2,1,0.1119,0.0567,0.0118
140,7,US,14,int,6.5,8,12,6,1.8,,2.457,1.775,0.0053,2.282,0,,,0.1003,0.0782,0
141,8,FI,27,auto,10,15,14,5,1.7,,3.95,2.311,0.0072,3.554,8,5,0,0.1579,0.0417,0.0173
142,8,FI,11,int,4.5,11,19,5,1.8,,6.515,2.2,0.0137,5.951,20,5,0,0.4349,0.1963,0.0366
143,8,FI,7,auto,7.5,12,18,5,1.7,,4.902,2.775,0.0108,4.957,25,5,0,0.2802,0.0934,0.033
144,8,US,14,int,7,9,16,6,1.9,x,4.614,0,0.009,4.675,20,5,0,0.2796,0.1374,0.0244
145,8,FI,42,int,8,16,23,5,1.8,,6.534,1.746,0.0125,6.357,7,5,0,0.3352,0.1509,0.0302
146,8,US,8,int,9,10,15,7,1.8,,5.503,5.503,0.0178,7.886,27,5,0,0.5181,0.3943,0.0695
147,8,US,4,auto,8,9,12,2,1.6,,2.672,2.672,0.0047,3.251,6,4,1,0.0732,0.0367,0.0084
148,8,FI,32,auto,6,12,19,5,1.5,,8.347,2.067,0.0144,7.685,18,5,0,0.3788,0.0963,0.0423
149,8,FI,27,int,6,13,28,5,1.8,,9.389,4.036,0.0201,10.064,7,5,0,0.5275,0.169,0.0717
150,8,US,9,int,8,10,17,7,1.7,,5.812,5.812,0.0106,5.31,11,5,0,0.2996,0.1832,0.0226
151,8,US,8,auto,6,9,9,3,1.7,x,3.243,0,0.0035,1.47,0,,,0.0446,0.0763,0
152,8,US,4,int,7,11,25,7,1.7,,7.245,5.08,0.0129,7.554,5,5,0,0.5234,0.1662,0.0424
153,8,FI,42,auto,9,11,14,4,1.8,,3.861,3.861,0.0077,3.961,9,4,1,0.1904,0.0626,0.0146
154,8,US,9,auto,6,10,11,9,2,,2.294,2.294,0.0023,2.035,2,2,0,0.0886,0.0152,0.0031
155,8,US,5,int,9.5,6,,,1.7,,,,,,,,,,,
156,8,FI,32,int,6,13,21,5,1.8,,4.269,4.269,0.0096,4.131,12,5,0,0.3546,0.1715,0.0343
157,8,US,5,auto,7,9,12,5,1.7,,1.79,1.79,0.0036,1.579,6,4,1,0.1081,0.0828,0.0125
158,8,FI,11,auto,7,9,14,5,1.7,,5.215,2.81,0.0112,5.53,8,5,0,0.2265,0.0586,0.0258
159,8,FI,7,int,8,16,26,5,1.8,,5.998,5.665,0.0132,6.408,45,5,0,0.4074,0.1337,0.0518
160,8,US,14,auto,7,10,8,5,1.8,,2.269,2.269,0.0051,2.473,9,4,1,0.0918,0.0507,0.012
161,9,US,8,auto,5.5,6,6,4,1.9,x,1.896,0,0.0046,1.707,2,2,0,0.0682,0.0758,0.0137
162,9,FI,27,int,9.5,11,17,5,1.9,x,5.72,0,0.0152,5.171,22,5,0,0.4119,0.1963,0.0709
163,9,FI,32,auto,2.5,10,15,4,1.6,,4.984,1.841,0.0129,5.55,6,1,4,0.1453,0.0461,0.0228
164,9,FI,42,int,8,10,19,5,1.7,,4.229,3.594,0.0117,4.371,20,5,0,0.3502,0.1679,0.0575
165,9,US,4,int,7.5,6,8,5,1.9,,2.604,2.604,0.0053,2.264,7,5,0,0.1378,0.1322,0.0079
166,9,FI,32,int,5.5,7,14,5,1.8,x,3.618,0,0.0092,3.465,12,5,0,0.338,0.1593,0.0427
167,9,US,14,int,6,9,15,6,1.6,,6.734,3.71,0.0147,6.342,10,5,0,0.4251,0.1772,0.0459
168,9,FI,11,auto,10,12,13,5,1.7,,2.878,0.861,0.0114,4.886,7,5,0,0.2339,0.0912,0.0285
169,9,FI,7,auto,8,12,13,2,1.9,x,1.995,0,0.0039,2.284,7,5,0,0.1178,0.049,0.0072
170,9,US,14,auto,8,8,6,3,1.7,,1.722,1.722,0.0045,2.059,2,2,0,0.0851,0.0401,0.008
171,9,US,9,int,7.5,6,11,7,1.8,,4.404,4.04,0.0129,4.909,4,5,0,0.3398,0.2252,0.018
